Frequency (Hz)	Level (dB)
10968.750000	-113.251350
11015.625000	-113.102753
11062.500000	-112.576447
11109.375000	-111.580444
11156.250000	-111.271309
11203.125000	-111.631508
11250.000000	-112.171631
11296.875000	-113.364525
11343.750000	-114.235268
11390.625000	-113.564789
11437.500000	-112.990204
11484.375000	-113.193855
11531.250000	-113.558807
11578.125000	-113.931572
11625.000000	-115.677353
11671.875000	-117.306877
11718.750000	-116.921928
11765.625000	-117.090652
11812.500000	-119.130745
11859.375000	-118.744255
11906.250000	-115.715668
11953.125000	-114.233086
12000.000000	-114.064606
12046.875000	-115.002960
12093.750000	-116.351433
12140.625000	-116.692802
12187.500000	-115.668015
12234.375000	-115.802940
12281.250000	-116.627625
12328.125000	-116.670029
12375.000000	-116.523628
12421.875000	-117.220306
12468.750000	-117.146523
12515.625000	-114.624886
12562.500000	-112.417526
12609.375000	-111.552490
12656.250000	-111.488785
12703.125000	-111.628639
12750.000000	-112.164490
12796.875000	-113.543190
12843.750000	-114.423767
12890.625000	-113.087044
12937.500000	-111.582375
12984.375000	-111.165466
13031.250000	-111.913185
13078.125000	-113.813911
13125.000000	-117.317032
13171.875000	-118.693939
13218.750000	-116.790390
13265.625000	-116.590256
13312.500000	-118.759789
13359.375000	-118.533218
13406.250000	-115.720528
13453.125000	-114.306198
13500.000000	-113.927628
13546.875000	-115.230446
13593.750000	-116.391090
13640.625000	-116.412239
13687.500000	-116.212463
13734.375000	-116.106926
13781.250000	-116.637413
13828.125000	-117.310905
13875.000000	-118.243851
13921.875000	-118.953461
13968.750000	-119.079910
14015.625000	-118.422226
14062.500000	-117.261497
14109.375000	-116.115662
14156.250000	-115.272736
14203.125000	-115.272934
14250.000000	-116.232224
14296.875000	-117.722855
14343.750000	-119.383484
14390.625000	-120.383904
14437.500000	-119.997238
14484.375000	-118.689377
14531.250000	-117.247513
14578.125000	-116.471901
14625.000000	-116.539619
14671.875000	-116.505669
14718.750000	-116.118347
14765.625000	-116.645470
14812.500000	-118.391708
14859.375000	-119.245590
14906.250000	-116.423355
14953.125000	-114.316574
15000.000000	-114.115334
15046.875000	-115.324188
15093.750000	-116.898674
15140.625000	-116.825836
15187.500000	-115.666840
15234.375000	-115.505913
15281.250000	-116.280830
15328.125000	-117.424461
15375.000000	-118.382385
15421.875000	-118.842926
15468.750000	-118.762939
15515.625000	-118.393547
15562.500000	-117.266640
15609.375000	-116.198235
15656.250000	-115.306435
15703.125000	-115.351326
15750.000000	-116.189636
15796.875000	-117.842003
15843.750000	-119.563049
15890.625000	-120.485222
15937.500000	-120.092072
15984.375000	-119.251755
16031.250000	-118.324081
16078.125000	-117.567825
16125.000000	-117.725159
16171.875000	-117.800880
16218.750000	-117.336227
16265.625000	-118.095657
16312.500000	-121.660484
16359.375000	-123.041893
16406.250000	-117.586121
16453.125000	-114.826347
16500.000000	-114.574753
16546.875000	-116.246223
16593.750000	-118.417175
16640.625000	-118.255219
16687.500000	-117.204834
16734.375000	-116.792915
16781.250000	-117.633980
16828.125000	-118.905098
16875.000000	-119.854675
16921.875000	-120.628006
16968.750000	-120.617165
17015.625000	-119.976173
17062.500000	-118.833015
17109.375000	-117.245300
17156.250000	-115.991661
17203.125000	-115.935387
17250.000000	-117.441467
17296.875000	-120.084671
17343.750000	-122.280434
17390.625000	-122.799011
17437.500000	-122.125481
17484.375000	-120.605026
17531.250000	-118.733826
17578.125000	-117.596794
17625.000000	-117.574570
17671.875000	-118.063156
17718.750000	-117.872429
17765.625000	-118.016472
17812.500000	-118.658302
17859.375000	-117.220917
17906.250000	-115.652130
17953.125000	-116.160469
18000.000000	-117.684494
18046.875000	-118.070160
18093.750000	-117.404060
18140.625000	-117.261993
18187.500000	-117.459923
18234.375000	-117.290634
18281.250000	-117.627197
18328.125000	-118.617088
18375.000000	-119.937218
18421.875000	-120.932426
18468.750000	-120.814217
18515.625000	-119.920914
18562.500000	-118.725708
18609.375000	-117.230789
18656.250000	-116.007118
18703.125000	-115.929893
18750.000000	-117.433594
18796.875000	-120.118767
18843.750000	-122.327515
18890.625000	-122.791771
18937.500000	-122.102371
18984.375000	-120.641479
19031.250000	-118.754799
19078.125000	-117.632790
19125.000000	-117.710152
19171.875000	-118.120483
19218.750000	-117.844643
19265.625000	-118.053711
19312.500000	-118.701927
19359.375000	-117.267052
19406.250000	-115.708847
19453.125000	-116.151459
19500.000000	-117.675171
19546.875000	-118.177589
19593.750000	-117.774551
19640.625000	-117.273315
19687.500000	-116.683235
19734.375000	-116.830521
19781.250000	-117.519997
19828.125000	-118.523460
19875.000000	-119.919312
19921.875000	-120.927116
19968.750000	-120.774895
20015.625000	-119.927605
20062.500000	-118.952240
20109.375000	-117.998505
20156.250000	-117.458397
20203.125000	-117.843964
20250.000000	-119.321754
20296.875000	-121.781219
20343.750000	-125.352020
20390.625000	-130.195297
20437.500000	-134.865158
20484.375000	-137.291824
20531.250000	-139.177460
20578.125000	-138.970016
20625.000000	-136.138107
20671.875000	-132.029633
20718.750000	-129.054840
20765.625000	-128.958344
20812.500000	-133.014481
20859.375000	-135.991684
20906.250000	-134.713074
20953.125000	-140.443893
21000.000000	-149.706711
21046.875000	-149.119720
21093.750000	-139.175522
21140.625000	-133.921432
21187.500000	-134.352997
21234.375000	-137.891602
21281.250000	-142.996796
21328.125000	-142.506409
21375.000000	-138.434738
21421.875000	-136.777451
21468.750000	-136.690643
21515.625000	-139.214661
21562.500000	-143.507828
21609.375000	-143.601654
21656.250000	-144.290085
21703.125000	-142.545456
21750.000000	-142.728317
21796.875000	-145.609833
21843.750000	-145.575256
21890.625000	-144.500397
21937.500000	-145.299774
21984.375000	-145.143997
22031.250000	-147.237152
22078.125000	-144.945572
22125.000000	-139.380188
22171.875000	-138.233704
22218.750000	-138.370132
22265.625000	-133.875214
22312.500000	-126.886452
22359.375000	-124.421516
22406.250000	-128.174683
22453.125000	-140.151093
22500.000000	-149.369888
22546.875000	-141.161118
22593.750000	-131.208969
22640.625000	-128.683044
22687.500000	-130.261353
22734.375000	-129.803146
22781.250000	-131.715851
22828.125000	-136.414230
22875.000000	-134.795639
22921.875000	-137.539444
22968.750000	-145.025131
23015.625000	-146.848068
23062.500000	-141.425674
23109.375000	-139.370193
23156.250000	-140.301224
23203.125000	-141.613861
23250.000000	-144.230789
23296.875000	-144.579208
23343.750000	-144.141129
23390.625000	-144.389069
23437.500000	-145.386475
23484.375000	-141.319458
23531.250000	-140.036880
23578.125000	-137.909439
23625.000000	-134.209900
23671.875000	-136.288864
23718.750000	-140.268051
23765.625000	-139.903992
23812.500000	-136.545471
23859.375000	-132.685684
23906.250000	-130.696365
23953.125000	-137.068497
